*** DUMP ../airbornenight.plf ***

    dwHdrVersion: 0x0000000d
       dwHdrSize: 0x00000038
   dwSectHdrSize: 0x00000014
      dwFileType: 0x00000002 (ARCHIVE)
    dwEntryPoint: 0x00000000
    dwTargetPlat: 0x00000004
    dwTargetAppl: 0x00000073
      dwHwCompat: 0x0b66984e
  dwVersionMajor: 0x00000002
  dwVersionMinor: 0x00000006
 dwVersionBugfix: 0x00000008
      dwLangZone: 0x00000000
      dwFileSize: 0x00cb09d8
-- Number of sections: 824 --
Sect 0000: Type: 0x0000000b, Size: 0x00000258, CRC32: 0x293a0ac2, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0001: Type: 0x00000003, Size: 0x0017e570, CRC32: 0xf0c52a99, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0002: Type: 0x00000009, Size: 0x00000011, CRC32: 0x6625824c, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0003: Type: 0x00000009, Size: 0x00000010, CRC32: 0xdbf68c99, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0004: Type: 0x00000009, Size: 0x00000011, CRC32: 0x1c5842fa, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0005: Type: 0x00000009, Size: 0x0000001e, CRC32: 0x896134cc, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0006: Type: 0x00000009, Size: 0x00000018, CRC32: 0x95db42fe, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0007: Type: 0x00000009, Size: 0x00000027, CRC32: 0xbb25146e, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0008: Type: 0x00000009, Size: 0x00000014, CRC32: 0xb9111b1e, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0009: Type: 0x00000009, Size: 0x00000010, CRC32: 0x542b19a0, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0010: Type: 0x00000009, Size: 0x000000da, CRC32: 0x3a1fe18c, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0011: Type: 0x00000009, Size: 0x000000f5, CRC32: 0x8dce58e0, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0012: Type: 0x00000009, Size: 0x0000001d, CRC32: 0x47a8cca0, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0013: Type: 0x00000009, Size: 0x0000121f, CRC32: 0x2734ffc2, LoadAddr: 0x00000000, UncomprSize: 0x00003513
Sect 0014: Type: 0x00000009, Size: 0x0000001e, CRC32: 0x53e6c938, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0015: Type: 0x00000009, Size: 0x00000096, CRC32: 0xb850f975, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0016: Type: 0x00000009, Size: 0x0000001a, CRC32: 0x0b229ca2, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0017: Type: 0x00000009, Size: 0x00000128, CRC32: 0x443768e7, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0018: Type: 0x00000009, Size: 0x0000008b, CRC32: 0xa097bbdd, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0019: Type: 0x00000009, Size: 0x000001c9, CRC32: 0xeb30d6ac, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0020: Type: 0x00000009, Size: 0x00000082, CRC32: 0x0651f2e9, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0021: Type: 0x00000009, Size: 0x000000e9, CRC32: 0x54b2fe1a, LoadAddr: 0x00000000, UncomprSize: 0x00000000
